City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san antonio de pale,-1.4014,5.6325,25.3,82,99,5.71,GQ,1729891520
1,port-aux-francais,-49.35,70.2167,2.25,67,58,10.73,TF,1729891521
2,waitangi,-43.9535,-176.5597,14.34,98,92,1.34,NZ,1729891522
3,mandali,33.7499,45.5541,17.49,22,0,3.44,IQ,1729891523
4,takoradi,4.8845,-1.7554,25.74,91,100,3.88,GH,1729891227
5,jamestown,42.097,-79.2353,12.8,66,100,3.09,US,1729891404
6,chaiyaphum,15.75,102.0,24.81,86,100,1.44,TH,1729891527
7,kannus,63.9,23.9,6.04,96,90,3.41,FI,1729891528
8,novo aripuana,-5.1206,-60.3797,38.9,23,56,1.0,BR,1729891529
9,shenjiamen,29.9576,122.298,22.76,95,100,6.7,CN,1729891530
10,invercargill,-46.4,168.35,8.34,75,100,4.92,NZ,1729891531
11,naze,28.3667,129.4833,25.51,84,99,4.71,JP,1729891532
12,narasannapeta,18.4167,84.05,24.74,84,86,3.09,IN,1729891533
13,saint-pierre,-21.3393,55.4781,23.82,69,100,2.57,RE,1729891534
14,knyaze-volkonskoye,48.4642,135.4567,-0.81,64,0,5.34,RU,1729891536
15,iwanai,42.9744,140.5089,13.35,80,80,3.63,JP,1729891538
16,bilibino,68.0546,166.4372,-17.21,91,100,1.33,RU,1729891539
17,adamstown,-25.066,-130.1015,20.84,75,100,7.27,PN,1729891540
18,georgetown,5.4112,100.3354,24.97,88,20,1.03,MY,1729891444
19,college,64.8569,-147.8028,-6.72,86,20,0.0,US,1729891542
20,yellowknife,62.456,-114.3525,-1.99,78,75,2.57,CA,1729891384
21,praia da vitoria,38.7333,-27.0667,18.14,72,75,4.18,PT,1729891546
22,west island,-12.1568,96.8225,25.99,73,20,4.63,CC,1729891547
23,kokstad,-30.5472,29.4241,11.45,95,100,1.28,ZA,1729891548
24,touros,-5.1989,-35.4608,24.93,74,100,5.43,BR,1729891549
